Design tryp_calc_EC50 chymo_calc_EC50 tryp_low_EC50 chymo_low_EC50 tryp_high_EC50 chymo_high_EC50 tryp_width_EC50 chymo_width_EC50 tryp_unfolded_EC50 chymo_unfolded_EC50
BB45CHm0000 1.06595296254 0.706290151386 0.8 0.5 1.3 1.0 0.5 0.5 -0.08 -0.29
BB45CHm0001 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.31 0.13
BB45CHm0002 0.636088495748 1.80153347393 -0.4 1.3 3.9 3.0 4.3 1.7 -0.06 -0.25
BB45CHm0003 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 -0.07 0.33
BB45CHm0004 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.35 -0.72
BB45CHm0005 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 0.05 -0.40
BB45CHm0006 3.18177844457 1.3228223214 3.0 0.9 3.4 2.0 0.4 1.1 0.44 0.13
BB45CHm0007 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.51 0.20
BB45CHm0008 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.31 0.01
BB45CHm0009 0.0974193566925 1.34992639589 -0.5 0.9 3.0 7.2 3.5 6.3 -0.12 -0.03
BB45CHm0010 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.41 -0.50
BB45CHm0011 0.17007478808 0.156678045629 -0.5 -0.5 6.7 6.4 7.2 6.9 -0.17 0.02
BB45CHm0012 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.07 -0.23
BB45CHm0013 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.20 -0.39
BB45CHm0014 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.16 0.44
BB45CHm0015 0.929495633552 0.588159613093 0.9 0.5 1.0 0.8 0.1 0.3 -0.42 -0.31
BB45CHm0016 1.07041973036 -0.0883392503328 0.7 -0.5 1.5 0.4 0.8 0.9 0.93 0.13
BB45CHm0017 2.39739653111 0.156678045629 2.0 -0.5 3.0 6.4 1.0 6.9 0.17 0.14
