Design tryp_calc_EC50 chymo_calc_EC50 tryp_low_EC50 chymo_low_EC50 tryp_high_EC50 chymo_high_EC50 tryp_width_EC50 chymo_width_EC50 tryp_unfolded_EC50 chymo_unfolded_EC50
BB45CHm0018 -0.080012731629 -0.0982648325411 -0.5 -0.5 0.3 0.4 0.8 0.9 -0.30 -0.03
BB45CHm0019 3.52323553202 1.94850192266 -0.3 -0.5 7.3 2.8 7.6 3.3 0.24 -0.00
BB45CHm0020 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.58 0.33
BB45CHm0021 1.51217504639 -0.0917901085172 1.2 -0.5 2.6 0.4 1.4 0.9 -0.08 -0.46
BB45CHm0022 0.0557184010599 0.0310747873611 -0.5 -0.5 1.2 1.2 1.7 1.7 -0.25 -0.22
BB45CHm0023 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.03 -0.24
BB45CHm0024 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.41 -0.28
BB45CHm0025 0.639899993981 -0.14560488056 0.4 -0.5 1.0 0.2 0.6 0.7 -0.52 -0.20
BB45CHm0026 0.17007478808 0.156678045629 -0.5 -0.5 6.7 6.4 7.2 6.9 -0.10 0.44
BB45CHm0027 0.525225219627 1.76534800491 0.2 1.4 1.1 2.2 0.9 0.8 -0.21 -0.38
BB45CHm0028 3.50063473582 2.82159943783 -0.4 0.3 5.7 7.4 6.1 7.1 -0.23 -0.27
BB45CHm0029 0.922822418234 0.330466911856 0.5 -0.4 1.5 1.4 1.0 1.8 0.31 0.16
BB45CHm0030 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.05 0.21
BB45CHm0031 0.127476242675 1.26440978042 -0.5 0.7 5.6 7.2 6.1 6.5 -0.47 -0.78
BB45CHm0032 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.37 -0.14
BB45CHm0033 2.27580236331 3.46010592928 -0.4 -0.3 2.8 7.3 3.2 7.6 0.68 -0.42
BB45CHm0034 0.0557184010599 0.0310747873611 -0.5 -0.5 1.2 1.2 1.7 1.7 -0.02 0.47
BB45CHm0035 -0.0434650460564 1.2847329736 -0.5 1.0 0.5 7.1 1.0 6.1 0.14 0.15
BB45CHm0036 0.94104977482 0.245679849797 0.6 -0.5 1.3 0.9 0.7 1.4 -0.15 0.23
BB45CHm0037 2.31382443 3.46010592928 -0.4 -0.3 2.9 7.3 3.3 7.6 0.53 0.23
BB45CHm0038 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.15 0.39
BB45CHm0039 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.18 -0.54
BB45CHm0040 1.42106275885 -0.0883392503328 1.1 -0.5 2.0 0.4 0.9 0.9 0.26 -0.01
BB45CHm0041 2.71419818264 0.676195883285 2.4 0.4 3.2 1.1 0.8 0.7 0.02 -0.42
BB45CHm0042 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 -0.72 -0.87
BB45CHm0043 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.24 0.45
BB45CHm0044 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.26 0.22
BB45CHm0045 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.29 0.16
BB45CHm0046 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.50 -0.33
BB45CHm0047 1.49171493522 0.781589206089 1.4 0.7 1.6 0.9 0.2 0.2 -0.42 -0.08
BB45CHm0048 3.28485063624 2.74192713866 3.2 2.6 3.4 2.9 0.2 0.3 -0.11 -0.21
BB45CHm0049 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.21 -0.23
BB45CHm0050 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 -0.20 0.44
BB45CHm0051 0.0270178722265 0.0040241663907 -0.5 -0.5 1.0 0.9 1.5 1.4 -0.07 0.45
BB45CHm0052 1.11519813693 2.37244886988 -0.2 2.0 7.2 3.4 7.4 1.4 0.65 0.23
BB45CHm0053 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.98 1.03
BB45CHm0054 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.55 0.35
BB45CHm0055 2.80473284759 0.813606203156 2.4 0.4 3.2 1.3 0.8 0.9 0.21 0.09
BB45CHm0056 1.31095473877 -0.080883706736 1.0 -0.5 1.9 0.4 0.9 0.9 0.36 -0.34
BB45CHm0057 -0.0192132739084 -0.0400246642431 -0.5 -0.5 0.6 0.6 1.1 1.1 0.02 -0.02
BB45CHm0058 1.29854944013 1.05466257211 -0.4 -0.4 7.3 7.3 7.7 7.7 0.09 -0.12
BB45CHm0059 -0.110852535071 -0.125953629059 -0.5 -0.5 0.3 0.3 0.8 0.8 -0.43 -0.80
BB45CHm0060 0.0742992064225 0.0486340542947 -0.5 -0.5 1.5 1.4 2.0 1.9 -0.15 0.43
BB45CHm0061 -0.0192132739084 -0.0400246642431 -0.5 -0.5 0.6 0.6 1.1 1.1 -0.43 -0.01
BB45CHm0062 1.22552506144 0.24889111483 -0.1 -0.5 7.3 7.0 7.4 7.5 0.72 -0.27
BB45CHm0063 2.17298872088 3.17870101689 1.9 2.7 2.5 7.3 0.6 4.6 0.40 0.23
BB45CHm0064 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.17 0.20
BB45CHm0065 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.07 0.79
BB45CHm0066 2.24613303395 3.46010592928 -0.4 -0.3 2.7 7.3 3.1 7.6 0.04 -0.04
BB45CHm0067 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.04 0.29
BB45CHm0068 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.23 -0.62
BB45CHm0069 1.01299750516 0.657040962149 0.3 -0.4 6.0 2.2 5.7 2.6 0.23 0.70
BB45CHm0070 3.43775415969 2.30559619327 0.9 2.0 7.4 2.8 6.5 0.8 0.56 0.10
BB45CHm0071 1.29854944013 1.05466257211 -0.4 -0.4 7.3 7.3 7.7 7.7 0.60 0.82
BB45CHm0072 4.05861355196 0.853984868231 0.3 0.4 5.1 1.3 4.8 0.9 -0.42 -0.46
BB45CHm0073 3.83316375816 1.05466257211 1.3 -0.4 7.4 7.3 6.1 7.7 -0.23 -0.48
BB45CHm0074 1.90248735126 1.20761482014 1.3 0.7 2.7 5.8 1.4 5.1 0.88 -0.09
BB45CHm0075 2.21575506493 1.05466257211 1.7 -0.4 2.9 7.3 1.2 7.7 0.27 -0.14
BB45CHm0076 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 -0.19 -0.35
BB45CHm0077 3.38220161045 2.57945395157 3.3 2.4 3.5 2.9 0.2 0.5 0.25 -0.43
BB45CHm0078 1.41804558185 1.16242205344 1.3 1.0 1.6 1.3 0.3 0.3 -0.29 0.20
BB45CHm0079 0.0402158912389 0.0164190653149 -0.5 -0.5 1.1 1.0 1.6 1.5 0.60 -0.07
BB45CHm0080 3.73521937122 3.46010592928 3.4 -0.3 4.5 7.3 1.1 7.6 0.08 0.44
BB45CHm0081 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.54 -0.68
BB45CHm0082 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.41 -0.43
BB45CHm0083 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.35 0.14
BB45CHm0084 0.0974193566925 0.072063869635 -0.5 -0.5 3.0 1.9 3.5 2.4 0.53 -0.01
BB45CHm0085 2.41833116273 2.33344753963 2.2 2.2 2.7 3.1 0.5 0.9 0.12 -0.03
BB45CHm0086 1.29854944013 3.61238842244 -0.4 1.1 7.3 7.4 7.7 6.3 0.38 0.87
BB45CHm0087 -0.0434650460564 -0.0631986269848 -0.5 -0.5 0.5 0.5 1.0 1.0 0.46 -0.03
BB45CHm0088 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.25 -0.19
BB45CHm0089 0.17007478808 0.156678045629 -0.5 -0.5 6.7 6.4 7.2 6.9 -0.20 -0.47
BB45CHm0090 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 0.30 0.47
BB45CHm0091 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.03 0.06
BB45CHm0092 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.84 -0.47
BB45CHm0093 0.00541894500928 -0.0165949884843 -0.5 -0.5 0.8 0.8 1.3 1.3 0.40 0.25
BB45CHm0094 -0.0192132739084 -0.0400246642431 -0.5 -0.5 0.6 0.6 1.1 1.1 0.03 -0.48
BB45CHm0095 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.47 0.14
BB45CHm0096 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 -0.48 -0.39
BB45CHm0097 1.15212230892 1.1159539779 0.9 0.8 1.5 1.4 0.6 0.6 0.33 0.39
BB45CHm0098 1.76249254985 0.719758396962 1.4 0.3 2.3 1.2 0.9 0.9 -0.49 -0.40
BB45CHm0099 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.61 1.06
BB45CHm0100 -0.0380390330925 -0.0580290624487 -0.5 -0.5 1.7 0.5 2.2 1.0 0.69 -0.18
BB45CHm0101 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.13 -0.07
BB45CHm0102 2.0114269007 3.46010592928 -0.5 -0.3 3.6 7.3 4.1 7.6 0.15 -0.30
BB45CHm0103 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.15 0.15
BB45CHm0104 1.41041509842 0.104642755452 0.9 -0.5 7.3 4.6 6.4 5.1 0.41 -0.05
BB45CHm0105 1.27910111456 0.156678045629 0.6 -0.5 7.3 6.4 6.7 6.9 -0.10 -0.08
BB45CHm0106 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.14 0.00
BB45CHm0107 2.03484292936 0.104642755452 0.1 -0.5 3.1 4.6 3.0 5.1 0.11 0.25
BB45CHm0108 0.17007478808 0.156678045629 -0.5 -0.5 6.7 6.4 7.2 6.9 -0.12 -0.29
BB45CHm0109 3.42277404606 3.20130780461 3.2 2.6 4.6 7.4 1.4 4.8 -0.08 -0.33
BB45CHm0110 0.697520180707 1.23958854642 0.4 0.2 1.1 1.5 0.7 1.3 -0.11 -0.02
BB45CHm0111 0.0974193566925 0.072063869635 -0.5 -0.5 3.0 1.9 3.5 2.4 0.16 -0.21
BB45CHm0112 1.99500411205 2.82095599871 1.7 -0.4 2.3 7.1 0.6 7.5 0.05 0.11
BB45CHm0113 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.07 0.34
BB45CHm0114 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.33 -0.09
BB45CHm0115 2.08648609247 2.16781375307 -0.4 1.6 4.1 3.3 4.5 1.7 0.62 0.66
BB45CHm0116 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.31 -0.09
BB45CHm0117 1.67593542904 -0.0580290624487 1.3 -0.5 2.3 0.5 1.0 1.0 0.13 0.29
BB45CHm0118 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.27 0.48
BB45CHm0119 2.14393593244 2.20356426323 1.5 1.7 3.2 3.5 1.7 1.8 -0.27 -0.11
BB45CHm0120 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.40 -0.14
BB45CHm0121 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.68 0.58
BB45CHm0122 -0.104331804051 -0.121699631431 -0.5 -0.5 0.3 0.6 0.8 1.1 -0.45 0.04
BB45CHm0123 0.0557184010599 0.973009308709 -0.5 0.3 1.2 4.7 1.7 4.4 0.14 -0.35
BB45CHm0124 2.2057548561 1.05466257211 1.8 -0.4 2.8 7.3 1.0 7.7 0.31 0.07
BB45CHm0125 0.580885467076 -0.164358162111 0.4 -0.5 0.9 0.2 0.5 0.7 0.20 -0.22
BB45CHm0126 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.19 -0.38
BB45CHm0127 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.09 0.23
BB45CHm0128 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.34 -0.26
BB45CHm0129 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.03 0.17
BB45CHm0130 1.29854944013 1.05466257211 -0.4 -0.4 7.3 7.3 7.7 7.7 -0.21 -0.06
BB45CHm0131 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.22 -0.08
BB45CHm0132 1.29854944013 1.05466257211 -0.4 -0.4 7.3 7.3 7.7 7.7 0.00 0.26
BB45CHm0133 -0.00361025112064 -0.0251594226555 -0.5 -0.5 0.7 0.7 1.2 1.2 0.03 0.09
BB45CHm0134 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.43 -0.44
BB45CHm0135 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.56 -0.46
BB45CHm0136 0.0270178722265 0.0040241663907 -0.5 -0.5 1.0 0.9 1.5 1.4 -0.45 -0.23
BB45CHm0137 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.14 -0.31
BB45CHm0138 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.38 0.08
BB45CHm0139 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.29 0.05
BB45CHm0140 1.33814978521 1.86106310526 1.1 1.5 1.9 2.2 0.8 0.7 0.04 -0.38
BB45CHm0141 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.18 -0.01
BB45CHm0142 -0.0192132739084 1.25009617425 -0.5 0.3 0.6 3.6 1.1 3.3 0.28 0.65
BB45CHm0143 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.26 0.69
BB45CHm0144 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.59 -0.66
BB45CHm0145 2.2887724587 1.21322117675 2.1 1.0 2.5 1.5 0.4 0.5 0.05 -0.25
BB45CHm0146 -0.0485102062353 -0.0680380149111 -0.5 -0.5 0.5 0.5 1.0 1.0 0.22 0.07
BB45CHm0147 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.44 0.64
BB45CHm0148 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.47 -0.46
BB45CHm0149 1.28000652938 0.586757335976 0.8 -0.4 7.0 1.6 6.2 2.0 -0.15 0.22
BB45CHm0150 3.52323553202 2.02109674423 -0.3 -0.5 7.3 6.3 7.6 6.8 -0.03 0.07
BB45CHm0151 0.0974193566925 0.072063869635 -0.5 -0.5 3.0 1.9 3.5 2.4 -0.27 -0.57
BB45CHm0152 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.07 -0.72
BB45CHm0153 -0.0322431038336 -0.0524425440106 -0.5 -0.5 0.5 0.6 1.0 1.1 -0.28 -0.36
BB45CHm0154 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.71 0.29
BB45CHm0155 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.36 0.43
BB45CHm0156 1.91453835962 2.26332116883 -0.5 -0.4 2.8 2.8 3.3 3.2 -0.37 -0.37
BB45CHm0157 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.29 -0.17
BB45CHm0158 2.68985424504 1.15000802801 2.2 0.8 3.4 1.7 1.2 0.9 0.23 -0.07
BB45CHm0159 0.0270178722265 0.0040241663907 -0.5 -0.5 1.0 0.9 1.5 1.4 0.11 0.53
BB45CHm0160 0.0742992064225 0.0486340542947 -0.5 -0.5 1.5 1.4 2.0 1.9 -0.10 -0.40
BB45CHm0161 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.38 0.20
BB45CHm0162 1.20521100796 1.33164411791 0.8 1.0 4.1 5.5 3.3 4.5 0.14 0.32
BB45CHm0163 -0.080012731629 -0.0982648325411 -0.5 -0.5 0.3 0.4 0.8 0.9 -0.34 -0.07
BB45CHm0164 3.00208882096 2.10064151629 2.9 1.6 3.1 2.3 0.2 0.7 -0.08 -0.06
BB45CHm0165 2.51627544732 0.478532098312 2.3 0.1 2.9 1.1 0.6 1.0 -0.22 -0.31
BB45CHm0166 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.14 -0.18
BB45CHm0167 0.678965130132 -0.0251594226555 0.2 -0.5 1.5 0.7 1.3 1.2 1.36 -0.17
BB45CHm0168 1.10723151274 1.0649361767 0.9 0.3 1.3 1.2 0.4 0.9 -0.14 -0.29
BB45CHm0169 0.245855587972 0.24889111483 -0.5 -0.5 7.1 7.0 7.6 7.5 -0.03 0.14
BB45CHm0170 1.32448759881 1.1344665028 0.8 0.5 7.2 6.7 6.4 6.2 -1.06 -0.88
BB45CHm0171 0.695906495161 1.4737224332 0.3 -0.3 1.3 2.1 1.0 2.4 -0.33 -0.14
BB45CHm0172 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.47 -0.25
BB45CHm0173 0.17007478808 1.24320755014 -0.5 0.6 6.7 7.3 7.2 6.7 -0.08 -0.10
BB45CHm0174 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.55 -0.25
BB45CHm0175 0.245855587972 1.57945140461 -0.5 0.9 7.1 7.4 7.6 6.5 0.51 0.60
BB45CHm0176 1.93518304861 2.63563707884 1.8 2.6 2.0 2.7 0.2 0.1 -0.09 -0.06
BB45CHm0177 3.59388771305 1.20818544395 3.3 -0.1 4.6 7.3 1.3 7.4 0.42 -0.06
BB45CHm0178 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.58 0.04
BB45CHm0179 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.17 0.35
BB45CHm0180 2.03259589744 2.3469620907 1.7 2.2 2.4 2.9 0.7 0.7 0.26 0.01
BB45CHm0181 0.0270178722265 0.893680505017 -0.5 0.3 1.0 1.8 1.5 1.5 0.54 1.22
BB45CHm0182 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.42 0.68
BB45CHm0183 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.98 1.38
BB45CHm0184 1.31602915311 0.072063869635 0.8 -0.5 7.3 1.9 6.5 2.4 0.73 0.02
BB45CHm0185 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.34 -0.12
BB45CHm0186 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.42 0.26
BB45CHm0187 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.26 -0.04
BB45CHm0188 1.29854944013 1.05466257211 -0.4 -0.4 7.3 7.3 7.7 7.7 0.41 0.69
BB45CHm0189 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.37 0.07
BB45CHm0190 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.83 0.62
BB45CHm0191 -0.0117686864299 -0.0329301779244 -0.5 -0.5 0.7 0.7 1.2 1.2 0.52 0.07
BB45CHm0192 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.07 0.55
BB45CHm0193 2.96474133815 3.46010592928 -0.2 -0.3 6.7 7.3 6.9 7.6 0.03 -0.33
BB45CHm0194 1.37851709686 -0.194045568622 1.2 -0.5 1.6 0.1 0.4 0.6 0.19 0.33
BB45CHm0195 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.02 -0.14
BB45CHm0196 2.00929006969 3.46010592928 -0.5 -0.3 3.6 7.3 4.1 7.6 0.41 0.17
BB45CHm0197 2.1389507359 0.072063869635 1.7 -0.5 3.4 1.9 1.7 2.4 0.96 0.57
BB45CHm0198 2.19263123783 4.11310258438 1.7 1.7 2.9 7.4 1.2 5.7 0.29 -0.09
BB45CHm0199 0.950367170231 0.69381381217 0.4 0.2 1.7 1.4 1.3 1.2 0.88 0.41
BB45CHm0200 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.18 -0.10
BB45CHm0201 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.38 -0.33
BB45CHm0202 -0.0322431038336 -0.0524425440106 -0.5 -0.5 0.5 0.6 1.0 1.1 -0.47 -0.63
BB45CHm0203 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.76 0.58
BB45CHm0204 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.06 -0.45
BB45CHm0205 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.07 -0.06
BB45CHm0206 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.27 0.39
BB45CHm0207 1.07773046267 0.104642755452 -0.3 -0.5 7.0 4.6 7.3 5.1 0.43 -0.03
BB45CHm0208 1.65907767941 0.072063869635 1.2 -0.5 7.4 1.9 6.2 2.4 0.34 -0.17
BB45CHm0209 -0.0322431038336 -0.0524425440106 -0.5 -0.5 0.5 0.6 1.0 1.1 -0.27 -0.09
BB45CHm0210 0.0402158912389 0.0164190653149 -0.5 -0.5 1.1 1.0 1.6 1.5 -0.52 0.20
BB45CHm0211 -0.0192132739084 -0.0400246642431 -0.5 -0.5 0.6 0.6 1.1 1.1 -0.03 0.03
BB45CHm0212 0.0974193566925 0.072063869635 -0.5 -0.5 3.0 1.9 3.5 2.4 -0.60 -0.34
BB45CHm0213 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.11 0.16
BB45CHm0214 3.52323553202 1.87990770002 -0.3 -0.5 7.3 2.3 7.6 2.8 0.36 0.17
BB45CHm0215 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.50 0.81
BB45CHm0216 0.0974193566925 0.072063869635 -0.5 -0.5 3.0 1.9 3.5 2.4 -0.31 0.03
BB45CHm0217 -0.0192132739084 -0.0400246642431 -0.5 -0.5 0.6 0.6 1.1 1.1 0.20 0.41
BB45CHm0218 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.34 -0.00
BB45CHm0219 0.584122031962 0.979207520818 0.3 0.7 1.0 1.3 0.7 0.6 0.33 -0.28
BB45CHm0220 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.04 -0.29
BB45CHm0221 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.35 -0.18
BB45CHm0222 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.22 -0.44
BB45CHm0223 2.11034366766 2.28022166785 1.9 2.1 2.3 2.5 0.4 0.4 -0.25 0.06
BB45CHm0224 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.55 0.54
BB45CHm0225 1.29854944013 1.05466257211 -0.4 -0.4 7.3 7.3 7.7 7.7 -0.19 0.10
BB45CHm0226 0.245855587972 1.20818544395 -0.5 -0.1 7.1 7.3 7.6 7.4 -0.34 -0.22
BB45CHm0227 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.22 0.07
BB45CHm0228 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.43 0.81
BB45CHm0229 3.45498796816 3.88877993612 3.3 3.4 3.7 4.5 0.4 1.1 0.16 0.39
BB45CHm0230 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.57 -0.50
BB45CHm0231 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.19 -0.05
BB45CHm0232 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.61 0.79
BB45CHm0233 -0.0532376699145 -0.072577261392 -0.5 -0.5 0.4 0.5 0.9 1.0 0.39 0.32
BB45CHm0234 0.929201321634 0.463300487764 0.5 0.1 1.4 1.1 0.9 1.0 -0.38 -0.49
BB45CHm0235 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 0.33 0.53
BB45CHm0236 3.52323553202 3.46010592928 -0.3 -0.3 7.3 7.3 7.6 7.6 -0.22 -0.62
